project,hash,bfs,exp,cost
accumulo,e4aa11e1b1a046dec9116273eb57f053aa68fd3f,4,0.0,0.0
accumulo,5a504b311c0e5f59ff5b14221c6bf61f43b4d093,153,0.0,0.0
accumulo,019edb1614008485f523deecaef88c7455e1e404,3,157.0,471.0
accumulo,882cfc881f0e3d6fa504761bf456ebb6f3f61365,23,247.0,5681.0
accumulo,382bfdcef9f34685724b3d9614f0df7c1cda26b8,2703,108.0,291924.0
accumulo,1b35d2633e7558b49a1ff8887a3bc37c19d0b34f,24,157.0,3768.0
accumulo,597b787cee82a0cb3a8c39e70de312878d0182fc,65,418.0,27170.0
accumulo,498f32bdf32ca563abbfb98cd0db60a8cf093184,13,418.0,5434.0
accumulo,0055bab8b94bb87c1b65db6223a5ae8840d2d52c,118,418.0,49324.0
accumulo,fa978b0c3097e7d94fe1c8e9a49db24175711221,92,157.0,14444.0
accumulo,9cee40724f739fc5e4591321c1c5adfb5364c5a1,2,157.0,314.0
accumulo,5eceb10e281b61e1f2b8a27a9b1c28746c2f0fc3,117,157.0,18369.0
accumulo,53705e7e863721a36237dc5a3646c473e0e5e6eb,34,157.0,5338.0
accumulo,e3b8ec5df226ede357973fc6b5cccc55ff6a2bec,55,418.0,22990.0
accumulo,a31bf1c4245817c21e0d07a574edcd335fbee7b8,1,60.0,60.0
accumulo,87c609d77f82a3ec0b9fc3d37690c81464d982af,38,23.0,874.0
accumulo,e2b2676f1be20474f1e4d2af99b3747de0c7d9c1,12,23.0,276.0
accumulo,609c7267c33368ff9cfbb459153546d22bc5d2ce,92,23.0,2116.0
accumulo,1b459a0205501389c5c6a2f3172030edeae34779,5,418.0,2090.0
accumulo,d6472040a9873bcc160199b8da57078118ee3e4a,33,418.0,13794.0
accumulo,81a77e1d6af5863bd42621329d0ad671327dbdfb,82,418.0,34276.0
accumulo,62093088eb8b989c7b0571a372cc7197edbae3d2,5,247.0,1235.0
accumulo,5681c40fa2ceb9b3500eb165d2cdc0ca787a86c7,4,418.0,1672.0
accumulo,b0e090ea18de6f06d25f6c370855c5debaa9ff0c,4,418.0,1672.0
accumulo,6927fb527260359362af19c651a2f2ffd32b2d4e,2,157.0,314.0
accumulo,5875781c52e030c221fcf9a04f2bde3c8075fe4f,2,157.0,314.0
accumulo,808d0c79f322dfe6ba46b0bbf51790e9c5e7ed75,2,108.0,216.0
accumulo,a73cf8511020f552e90386d829a6dffb5a8a1cad,176,28.0,4928.0
