Kind,Name,AvgCyclomatic,CountLine,CountLineCode
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/pom.xml",0,160,135
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java",2,215,168
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java",5,271,227
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java",2,458,373
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java",2,137,87
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java",4,357,288
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java",2,163,128
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/pom.xml",0,254,231
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java",2,1242,901
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java",1,51,21
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java",1,154,111
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java",0,31,5
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java",1,928,687
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java",3,180,121
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java",2,260,202
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java",3,551,367
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java",0,40,9
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java",2,361,259
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java",4,388,322
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java",0,51,7
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java",2,577,380
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java",0,32,8
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java",1,66,39
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java",1,188,116
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java",2,582,364
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java",2,158,106
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java",0,50,16
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java",0,27,4
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java",3,928,712
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java",0,60,10
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java",1,62,29
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java",1,87,48
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java",1,52,23
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDirsManager.java",2,268,158
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java",1,163,133
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java",0,109,18
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java",1,147,83
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java",1,58,24
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java",1,44,15
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java",5,108,60
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java",0,139,29
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java",2,326,258
File,"/Volumes/KILBY USB/bookkeeper-4.2.0/bookkeeper-release-4.2.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java",1,648,237
