Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"$",0,69,4
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/bundle/pom.xml",0,324,262
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/pom.xml",0,608,513
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/src/main/descriptors/common-bin.xml",0,130,103
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/src/main/descriptors/unix-bin.xml",0,77,49
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/src/main/descriptors/unix-src.xml",0,97,72
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/src/main/descriptors/windows-bin.xml",0,77,49
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/apache-camel/src/main/descriptors/windows-src.xml",0,98,72
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/buildingtools/pom.xml",0,40,16
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/buildingtools/src/main/resources/camel-checkstyle-suppressions.xml",0,36,18
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/buildingtools/src/main/resources/camel-checkstyle.xml",0,304,120
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/buildingtools/src/main/resources/camel-pmd-ruleset.xml",0,206,43
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/buildingtools/src/main/resources/notice-supplements.xml",0,197,197
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/pom.xml",0,300,257
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/data/bar.xml",0,18,2
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/data/foo.xml",0,18,2
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/AlreadyStoppedException.java",1,29,6
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/AsyncCallback.java",0,35,4
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/AsyncProcessor.java",0,46,4
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Body.java",0,32,9
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/CamelContext.java",0,343,55
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/CamelContextAware.java",0,33,4
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/CamelException.java",1,40,14
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/CamelExchangeException.java",1,48,19
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/CamelTemplate.java",1,39,11
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Component.java",0,50,6
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Consume.java",0,41,11
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Consumer.java",0,25,3
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Converter.java",0,35,9
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Endpoint.java",0,133,20
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/EndpointInject.java",0,43,12
File,"/Volumes/KILBY USB/camel-1.6.0/camel-camel-1.6.0/camel-core/src/main/java/org/apache/camel/Exchange.java",0,232,34
