Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"(Unnamed_Package)",3,393,262
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/build.xml",0,476,376
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/conf/storage-conf.xml",0,381,59
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/bmt_example/CassandraBulkLoader.java",3,272,193
Module File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/cassandra_browser/cutejson.py",4,116,76
Module File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/cassandra_browser/index.py",2,485,364
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/circuit/build.xml",0,59,37
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/AboutDialog.java",1,82,55
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/CircuitFrame.java",1,247,184
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingModel.java",1,249,167
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingPanel.java",3,168,122
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/client_only/ClientOnlyExample.java",5,175,120
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/javautils/build.xml",0,87,61
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/javautils/src/main/java/org/apache/cassandra/contrib/utils/service/CassandraServiceDataCleaner.java",1,101,40
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/javautils/src/test/java/org/apache/cassandra/contrib/utils/service/CassandraServiceTest.java",1,119,61
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/maven/pom.xml",0,551,480
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/mutex/src/org/apache/cassandra/mutex/ClusterMutex.java",3,345,218
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/mutex/storage-conf.xml",0,43,7
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/pig/build.xml",0,74,48
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java",2,145,103
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/pig/storage-conf.xml",0,369,57
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/property_snitch/build.xml",0,77,40
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/property_snitch/src/java/org/apache/cassandra/locator/PropertyFileEndPointSnitch.java",2,179,104
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/property_snitch/src/java/org/apache/cassandra/locator/PropertyFileEndPointSnitchMBean.java",0,47,7
Module File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/py_stress/stress.py",4,341,276
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/word_count/build.xml",0,68,46
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/word_count/src/WordCount.java",1,139,96
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/word_count/src/WordCountSetup.java",2,79,46
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/contrib/word_count/storage-conf.xml",0,369,57
File,"/Volumes/KILBY USB/cassandra-0.6.0/cassandra-cassandra-0.6.0/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java",1,333,232
