Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"(Unnamed_Package)",2,896,431
Public Class,"SimpleApp",4,222,132
Method,"SimpleApp.go",,157,95
Public Static Method,"SimpleApp.main",,4,4
Private Method,"SimpleApp.parseArguments",,20,19
Static Method,"SimpleApp.printSQLError",,8,8
Public Class,"SimpleNetworkClientSample",2,289,153
Public Method,"SimpleNetworkClientSample.getClientDataSource",,55,34
Public Method,"SimpleNetworkClientSample.getClientDataSourceConn",,15,8
Public Method,"SimpleNetworkClientSample.getClientDriverManagerConnection",,22,9
Public Method,"SimpleNetworkClientSample.loadDriver",,9,5
Public Static Method,"SimpleNetworkClientSample.main",,6,4
Private Method,"SimpleNetworkClientSample.parseArguments",,31,20
Public Method,"SimpleNetworkClientSample.startSample",,49,34
Public Method,"SimpleNetworkClientSample.test",,33,25
Public Class,"SimpleNetworkServerSample",2,289,127
Public Static Method,"SimpleNetworkServerSample.getEmbeddedConnection",,20,7
Private Static Method,"SimpleNetworkServerSample.ijUsage",,13,8
Public Static Method,"SimpleNetworkServerSample.main",,70,41
Public Static Method,"SimpleNetworkServerSample.startNetworkServer",,24,5
Private Static Method,"SimpleNetworkServerSample.startWithProperty",,19,6
Public Static Method,"SimpleNetworkServerSample.test",,34,25
Private Static Method,"SimpleNetworkServerSample.waitForExit",,14,8
Private Static Method,"SimpleNetworkServerSample.waitForStart",,40,23
File,"derby\build.xml",0,1188,895
File,"derby\frameworks\NetworkServer\readme.html",1,20,4
File,"derby\frameworks\embedded\readme.html",1,20,4
File,"derby\frameworks\readme.html",0,34,0
File,"derby\java\build\build.xml",0,52,18
File,"derby\java\build\org\apache\derbyBuild\ClassSizeCrawler.java",8,304,219
File,"derby\java\build\org\apache\derbyBuild\ODBCMetadataGenerator.java",4,1207,530
File,"derby\java\build\org\apache\derbyBuild\build.xml",0,41,30
File,"derby\java\build\org\apache\derbyBuild\classlister.java",9,731,543
File,"derby\java\build\org\apache\derbyBuild\eclipse\DerbyEclipsePlugin.java",1,186,86
File,"derby\java\build\org\apache\derbyBuild\javadoc\DiskLayoutTaglet.java",1,136,57
File,"derby\java\build\org\apache\derbyBuild\javadoc\EndFormatTaglet.java",1,135,56
File,"derby\java\build\org\apache\derbyBuild\javadoc\FormatIdTaglet.java",1,137,57
File,"derby\java\build\org\apache\derbyBuild\javadoc\PurposeTaglet.java",1,138,57
File,"derby\java\build\org\apache\derbyBuild\javadoc\UpgradeTaglet.java",1,136,57
File,"derby\java\build\org\apache\derbyBuild\propertyconfig.java",8,346,167
File,"derby\java\build\org\apache\derbyBuild\splitmessages.java",6,92,43
File,"derby\java\client\build.xml",0,61,31
File,"derby\java\client\org\apache\derby\client\ClientDataSourceFactory.java",2,92,26
File,"derby\java\client\org\apache\derby\client\ClientPooledConnection.java",2,212,147
File,"derby\java\client\org\apache\derby\client\ClientXAConnection.java",1,130,81
File,"derby\java\client\org\apache\derby\client\ClientXid.java",1,205,89
File,"derby\java\client\org\apache\derby\client\am\Agent.java",1,279,195
File,"derby\java\client\org\apache\derby\client\am\AsciiStream.java",1,46,23
File,"derby\java\client\org\apache\derby\client\am\BatchUpdateException.java",1,96,57
File,"derby\java\client\org\apache\derby\client\am\Blob.java",2,302,227
File,"derby\java\client\org\apache\derby\client\am\BlobOutputStream.java",2,65,38
File,"derby\java\client\org\apache\derby\client\am\CallableStatement.java",2,1279,1114
File,"derby\java\client\org\apache\derby\client\am\Clob.java",2,501,376
File,"derby\java\client\org\apache\derby\client\am\ClobOutputStream.java",2,67,39
File,"derby\java\client\org\apache\derby\client\am\ClobWriter.java",1,98,64
File,"derby\java\client\org\apache\derby\client\am\ColumnMetaData.java",5,925,731
File,"derby\java\client\org\apache\derby\client\am\Configuration.java",1,233,133
File,"derby\java\client\org\apache\derby\client\am\Connection.java",2,1641,1174
File,"derby\java\client\org\apache\derby\client\am\ConnectionCallbackInterface.java",0,38,8
File,"derby\java\client\org\apache\derby\client\am\ConversionException.java",1,40,16
File,"derby\java\client\org\apache\derby\client\am\CrossConverters.java",4,1409,1044
File,"derby\java\client\org\apache\derby\client\am\Cursor.java",3,1076,830
File,"derby\java\client\org\apache\derby\client\am\DatabaseMetaData.java",1,2101,1463
File,"derby\java\client\org\apache\derby\client\am\DateTime.java",1,616,446
File,"derby\java\client\org\apache\derby\client\am\Decimal.java",5,476,289
File,"derby\java\client\org\apache\derby\client\am\Diagnosable.java",0,29,6
File,"derby\java\client\org\apache\derby\client\am\DisconnectException.java",1,67,34
File,"derby\java\client\org\apache\derby\client\am\EncryptionManager.java",6,499,304
File,"derby\java\client\org\apache\derby\client\am\ErrorKey.java",1,46,15
File,"derby\java\client\org\apache\derby\client\am\ExceptionFormatter.java",6,193,149
File,"derby\java\client\org\apache\derby\client\am\FloatingPoint.java",1,115,46
File,"derby\java\client\org\apache\derby\client\am\GetFileInputStreamAction.java",1,50,17
File,"derby\java\client\org\apache\derby\client\am\GetResourceBundleAction.java",1,40,13
File,"derby\java\client\org\apache\derby\client\am\GetResourceInputStreamAction.java",2,92,53
File,"derby\java\client\org\apache\derby\client\am\GetSystemPropertiesAction.java",1,54,13
File,"derby\java\client\org\apache\derby\client\am\Lob.java",1,100,50
File,"derby\java\client\org\apache\derby\client\am\LogWriter.java",2,1198,1004
File,"derby\java\client\org\apache\derby\client\am\LogicalConnection.java",1,315,225
File,"derby\java\client\org\apache\derby\client\am\MaterialPreparedStatement.java",0,60,20
File,"derby\java\client\org\apache\derby\client\am\MaterialStatement.java",0,70,27
File,"derby\java\client\org\apache\derby\client\am\ParameterMetaData.java",3,138,95
File,"derby\java\client\org\apache\derby\client\am\PreparedStatement.java",2,1747,1373
File,"derby\java\client\org\apache\derby\client\am\PreparedStatementCallbackInterface.java",0,37,5
File,"derby\java\client\org\apache\derby\client\am\ProductLevel.java",5,95,52
File,"derby\java\client\org\apache\derby\client\am\QueryTimerTask.java",2,51,27
File,"derby\java\client\org\apache\derby\client\am\ResourceUtilities.java",2,55,24
File,"derby\java\client\org\apache\derby\client\am\ResultSet.java",2,3906,2998
File,"derby\java\client\org\apache\derby\client\am\ResultSetCallbackInterface.java",0,40,8
File,"derby\java\client\org\apache\derby\client\am\Savepoint.java",1,61,28
File,"derby\java\client\org\apache\derby\client\am\Section.java",1,147,81
File,"derby\java\client\org\apache\derby\client\am\SectionManager.java",2,211,111
File,"derby\java\client\org\apache\derby\client\am\SetAccessibleAction.java",1,48,19
File,"derby\java\client\org\apache\derby\client\am\SignedBinary.java",1,108,47
File,"derby\java\client\org\apache\derby\client\am\SqlCode.java",1,51,15
File,"derby\java\client\org\apache\derby\client\am\SqlException.java",1,303,183
File,"derby\java\client\org\apache\derby\client\am\SqlState.java",1,62,22
File,"derby\java\client\org\apache\derby\client\am\SqlWarning.java",1,163,107
File,"derby\java\client\org\apache\derby\client\am\Sqlca.java",2,423,297
File,"derby\java\client\org\apache\derby\client\am\Statement.java",2,2111,1563
File,"derby\java\client\org\apache\derby\client\am\StatementCallbackInterface.java",0,62,16
File,"derby\java\client\org\apache\derby\client\am\Types.java",11,173,109
File,"derby\java\client\org\apache\derby\client\am\UnitOfWorkListener.java",0,29,6
File,"derby\java\client\org\apache\derby\client\am\Utils.java",4,315,259
File,"derby\java\client\org\apache\derby\client\am\Version.java",1,169,120
File,"derby\java\client\org\apache\derby\client\am\XaException.java",1,114,74
File,"derby\java\client\org\apache\derby\client\net\CcsidManager.java",1,92,24
File,"derby\java\client\org\apache\derby\client\net\CodePoint.java",1,726,226
File,"derby\java\client\org\apache\derby\client\net\CodePointNameTable.java",1,91,63
File,"derby\java\client\org\apache\derby\client\net\ConnectionReply.java",1,65,35
File,"derby\java\client\org\apache\derby\client\net\ConnectionReplyInterface.java",0,38,11
File,"derby\java\client\org\apache\derby\client\net\ConnectionRequestInterface.java",0,40,9
