Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"(Unnamed_Package)",0,28,3
Public Class,"DefaultPackageClass",0,9,3
File,"felix\obr.xml",0,39,21
File,"felix\pom.xml",0,348,241
File,"felix\src\main\java\org\apache\felix\scr\Component.java",0,357,41
File,"felix\src\main\java\org\apache\felix\scr\Reference.java",0,132,16
File,"felix\src\main\java\org\apache\felix\scr\ScrService.java",0,89,9
File,"felix\src\main\java\org\apache\felix\scr\impl\Activator.java",3,513,296
File,"felix\src\main\java\org\apache\felix\scr\impl\BundleComponentActivator.java",2,637,368
File,"felix\src\main\java\org\apache\felix\scr\impl\ComponentActorThread.java",1,131,71
File,"felix\src\main\java\org\apache\felix\scr\impl\ComponentRegistry.java",2,436,217
File,"felix\src\main\java\org\apache\felix\scr\impl\ScrCommand.java",6,507,431
File,"felix\src\main\java\org\apache\felix\scr\impl\config\AbstractComponentHolder.java",1,94,57
File,"felix\src\main\java\org\apache\felix\scr\impl\config\ComponentHolder.java",0,102,18
File,"felix\src\main\java\org\apache\felix\scr\impl\config\ConfigurationComponentRegistry.java",4,371,254
File,"felix\src\main\java\org\apache\felix\scr\impl\config\ConfiguredComponentHolder.java",3,405,216
File,"felix\src\main\java\org\apache\felix\scr\impl\config\MetaTypeProviderImpl.java",1,223,149
File,"felix\src\main\java\org\apache\felix\scr\impl\config\ScrConfiguration.java",2,241,164
File,"felix\src\main\java\org\apache\felix\scr\impl\config\UnconfiguredComponentHolder.java",1,88,41
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\ActivateMethod.java",2,269,173
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\BaseMethod.java",2,600,354
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\BindMethod.java",5,596,343
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\DeactivateMethod.java",1,49,20
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\Logger.java",0,69,8
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\ModifiedMethod.java",1,45,18
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\ReadOnlyDictionary.java",1,186,101
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\SuitableMethodNotAccessibleException.java",0,24,4
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\UnbindMethod.java",1,43,14
File,"felix\src\main\java\org\apache\felix\scr\impl\helper\UpdatedMethod.java",1,43,14
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\AbstractComponentManager.java",1,1299,795
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\ComponentContextImpl.java",1,135,77
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\ComponentFactoryImpl.java",1,458,260
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\DelayedComponentManager.java",1,118,61
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\DependencyManager.java",2,1343,724
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\ImmediateComponentManager.java",2,553,307
File,"felix\src\main\java\org\apache\felix\scr\impl\manager\ServiceFactoryComponentManager.java",1,205,102
File,"felix\src\main\java\org\apache\felix\scr\impl\metadata\ComponentMetadata.java",2,779,377
File,"felix\src\main\java\org\apache\felix\scr\impl\metadata\PropertyMetadata.java",4,264,170
File,"felix\src\main\java\org\apache\felix\scr\impl\metadata\ReferenceMetadata.java",1,433,193
File,"felix\src\main\java\org\apache\felix\scr\impl\metadata\ServiceMetadata.java",1,104,42
File,"felix\src\main\java\org\apache\felix\scr\impl\metadata\XmlHandler.java",5,485,277
File,"felix\src\main\java\org\apache\felix\scr\impl\parser\KXml2SAXHandler.java",0,69,19
File,"felix\src\main\java\org\apache\felix\scr\impl\parser\KXml2SAXParser.java",4,95,48
File,"felix\src\main\java\org\apache\felix\scr\impl\parser\ParseException.java",1,33,12
File,"felix\src\test\java\DefaultPackageClass.java",0,28,3
File,"felix\src\test\java\org\apache\felix\scr\impl\BundleComponentActivatorTest.java",1,183,104
File,"felix\src\test\java\org\apache\felix\scr\impl\MockBundle.java",1,178,100
File,"felix\src\test\java\org\apache\felix\scr\impl\MockLogger.java",1,58,27
File,"felix\src\test\java\org\apache\felix\scr\impl\config\ConfiguredComponentHolderTest.java",1,257,160
File,"felix\src\test\java\org\apache\felix\scr\impl\helper\ActivateMethodTest.java",1,297,174
File,"felix\src\test\java\org\apache\felix\scr\impl\helper\BindMethodTest.java",1,447,338
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\AbstractComponentManagerTest.java",1,54,31
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\components2\T2.java",2,211,163
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\components\FakeService.java",0,25,4
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\components\SuperFakeService.java",0,24,4
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\components\T1.java",2,385,311
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\components\T1a.java",0,27,4
File,"felix\src\test\java\org\apache\felix\scr\impl\manager\components\T3.java",0,30,5
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\ComponentMetadataTest.java",1,757,554
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\XmlHandlerTest.java",1,323,235
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\instances2\Level2Object.java",1,55,23
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\instances\AcceptMethod.java",1,71,32
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\instances\BaseObject.java",1,71,32
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\instances\Level1Object.java",1,41,14
File,"felix\src\test\java\org\apache\felix\scr\impl\metadata\instances\Level3Object.java",1,49,19
File,"felix\src\test\java\org\apache\felix\scr\integration\ActivateSignatureTest.java",2,76,35
File,"felix\src\test\java\org\apache\felix\scr\integration\ComponentActivationTest.java",1,188,104
File,"felix\src\test\java\org\apache\felix\scr\integration\ComponentConfigurationTest.java",1,420,287
File,"felix\src\test\java\org\apache\felix\scr\integration\ComponentDisposeTest.java",2,162,105
File,"felix\src\test\java\org\apache\felix\scr\integration\ComponentFactoryTest.java",4,491,350
File,"felix\src\test\java\org\apache\felix\scr\integration\ComponentTestBase.java",2,352,267
File,"felix\src\test\java\org\apache\felix\scr\integration\ServiceBindTest.java",1,1230,869
File,"felix\src\test\java\org\apache\felix\scr\integration\ServiceChangedTest.java",1,633,455
File,"felix\src\test\java\org\apache\felix\scr\integration\ServiceComponentTest.java",1,173,104
File,"felix\src\test\java\org\apache\felix\scr\integration\components\ActivatorComponent.java",2,51,23
File,"felix\src\test\java\org\apache\felix\scr\integration\components\MyTinyBundle.java",1,57,30
File,"felix\src\test\java\org\apache\felix\scr\integration\components\SimpleComponent.java",1,172,105
File,"felix\src\test\java\org\apache\felix\scr\integration\components\SimpleService.java",0,26,5
File,"felix\src\test\java\org\apache\felix\scr\integration\components\SimpleServiceImpl.java",1,131,82
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\AbstractActivateSignatureTestComponent.java",1,59,26
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Package_BundleContext.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Package_ComponentContext.java",1,32,9
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Package_Map.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Private_BundleContext.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Private_ComponentContext.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Private_Map.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Protected_BundleContext.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Protected_ComponentContext.java",1,32,9
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Protected_Map.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Public_BundleContext.java",1,33,10
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Public_ComponentContext.java",1,32,9
File,"felix\src\test\java\org\apache\felix\scr\integration\components\activatesignature\Signature_Public_Map.java",1,33,10
File,"felix\src\test\resources\components_activate_10.xml",0,39,23
File,"felix\src\test\resources\components_activate_11.xml",0,26,8
File,"felix\src\test\resources\components_all_elements_10.xml",0,96,46
File,"felix\src\test\resources\components_anonymous_10.xml",0,24,6
File,"felix\src\test\resources\components_anonymous_11.xml",0,24,6
File,"felix\src\test\resources\components_duplicate_implementation_10.xml",0,26,8
File,"felix\src\test\resources\components_duplicate_implementation_11.xml",0,26,8
File,"felix\src\test\resources\components_duplicate_service_10.xml",0,31,13
File,"felix\src\test\resources\components_duplicate_service_11.xml",0,31,13
File,"felix\src\test\resources\components_no_namespace.xml",0,22,4
File,"felix\src\test\resources\integration_test_activation_components.xml",0,73,37
File,"felix\src\test\resources\integration_test_signature_components.xml",0,69,39
File,"felix\src\test\resources\integration_test_simple_components.xml",0,108,69
File,"felix\src\test\resources\integration_test_simple_components_service_binding.xml",0,272,233
File,"felix\src\test\resources\reference_anonymous_10.xml",0,26,8
File,"felix\src\test\resources\reference_anonymous_11.xml",0,26,8
Package,"org",0,0,0
Package,"org.apache",0,0,0
Package,"org.apache.felix",0,0,0
Package,"org.apache.felix.scr",0,578,66
Public Interface,"org.apache.felix.scr.Component",0,330,37
Abstract Method,"org.apache.felix.scr.Component.disable",,9,1
Abstract Method,"org.apache.felix.scr.Component.enable",,9,1
Abstract Method,"org.apache.felix.scr.Component.getActivate",,11,1
Abstract Method,"org.apache.felix.scr.Component.getBundle",,4,1
Abstract Method,"org.apache.felix.scr.Component.getClassName",,6,1
Abstract Method,"org.apache.felix.scr.Component.getComponentInstance",,8,1
Abstract Method,"org.apache.felix.scr.Component.getConfigurationPolicy",,25,1
Abstract Method,"org.apache.felix.scr.Component.getDeactivate",,11,1
Abstract Method,"org.apache.felix.scr.Component.getFactory",,7,1
Abstract Method,"org.apache.felix.scr.Component.getId",,7,1
Abstract Method,"org.apache.felix.scr.Component.getModified",,11,1
Abstract Method,"org.apache.felix.scr.Component.getName",,6,1
Abstract Method,"org.apache.felix.scr.Component.getProperties",,7,1
Abstract Method,"org.apache.felix.scr.Component.getReferences",,6,1
Abstract Method,"org.apache.felix.scr.Component.getServices",,7,1
