Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"hellojpa",1,148,58
Public Class,"hellojpa.Main",2,52,20
Public Static Method,"hellojpa.Main.main",,44,17
Public Class,"hellojpa.Message",1,47,31
Public Constructor,"hellojpa.Message.Message",,3,3
Public Constructor,"hellojpa.Message.Message",,2,2
Public Method,"hellojpa.Message.getCreated",,3,3
Public Method,"hellojpa.Message.getId",,3,3
Public Method,"hellojpa.Message.getMessage",,3,3
Public Method,"hellojpa.Message.setCreated",,3,3
Public Method,"hellojpa.Message.setId",,3,3
Public Method,"hellojpa.Message.setMessage",,3,3
File,"openjpa\openjpa-all\pom.xml",0,177,141
File,"openjpa\openjpa-examples\pom.xml",0,111,55
File,"openjpa\openjpa-examples\src\main\java\META-INF\persistence.xml",0,84,21
File,"openjpa\openjpa-examples\src\main\java\build.xml",0,127,64
File,"openjpa\openjpa-examples\src\main\java\hellojpa\Main.java",2,76,23
File,"openjpa\openjpa-examples\src\main\java\hellojpa\Message.java",1,72,35
File,"openjpa\openjpa-examples\src\main\java\hellojpa\build.xml",0,23,5
File,"openjpa\openjpa-examples\src\main\java\relations\Deity.java",1,197,104
File,"openjpa\openjpa-examples\src\main\java\relations\Main.java",2,170,81
File,"openjpa\openjpa-examples\src\main\java\relations\build.xml",0,23,5
File,"openjpa\openjpa-examples\src\main\java\reversemapping\Main.java",1,120,67
File,"openjpa\openjpa-examples\src\main\java\reversemapping\build.xml",0,92,55
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\ToursDB_schema.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\dropdb.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadAIRLINES.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadCITIES.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadCOUNTRIES.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadFLIGHTAVAILABILITY1.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadFLIGHTAVAILABILITY2.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadFLIGHTS1.sql",0,0,0
File,"openjpa\openjpa-examples\src\main\java\reversemapping\schema\loadFLIGHTS2.sql",0,0,0
File,"openjpa\openjpa-integration\examples\pom.xml",0,104,69
File,"openjpa\openjpa-integration\pom.xml",0,37,19
File,"openjpa\openjpa-integration\tck\pom.xml",0,326,211
File,"openjpa\openjpa-jdbc\pom.xml",0,68,50
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\ant\MappingToolTask.java",1,243,118
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\ant\ReverseMappingToolTask.java",1,312,154
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\ant\SchemaToolTask.java",1,152,67
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\ant\package.html",0,27,0
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\FetchModeValue.java",1,53,21
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\JDBCConfiguration.java",0,605,92
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\JDBCConfigurationImpl.java",1,859,629
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\JDBCProductDerivation.java",1,51,23
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\JDBCSeqValue.java",1,61,27
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\MappingFactoryValue.java",4,162,93
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\MappingRepositoryValue.java",3,68,32
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\conf\package.html",0,27,0
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\AbstractJDBCSavepointManager.java",1,146,69
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\AbstractJDBCSeq.java",2,219,135
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\AbstractUpdateManager.java",3,369,251
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\BatchingConstraintUpdateManager.java",1,62,20
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\BatchingOperationOrderUpdateManager.java",1,64,21
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\BatchingPreparedStatementManagerImpl.java",5,250,174
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\ClassTableJDBCSeq.java",2,265,164
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\ConnectionInfo.java",0,35,9
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\ConstraintUpdateManager.java",3,546,319
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\DelegatingJDBCFetchConfiguration.java",1,297,224
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\EagerFetchModes.java",0,45,6
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\GenericResultObjectProvider.java",1,129,73
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\InstanceResultObjectProvider.java",1,61,23
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBC3SavepointManager.java",2,65,30
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCBrokerFactory.java",2,161,98
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCFetchConfiguration.java",0,244,39
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCFetchConfigurationImpl.java",2,382,294
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCLockManager.java",0,49,9
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCSeq.java",0,41,8
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCStore.java",0,97,22
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCStoreManager.java",2,1422,992
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\JDBCStoreQuery.java",3,675,479
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\LRSSizes.java",0,46,7
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\MappedQueryResultObjectProvider.java",1,465,355
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\NativeJDBCSeq.java",1,374,217
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\OperationOrderUpdateManager.java",4,221,139
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\PagingResultObjectProvider.java",4,460,301
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\PessimisticLockManager.java",2,213,130
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\PreparedStatementManager.java",0,47,8
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\PreparedStatementManagerImpl.java",2,163,101
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\ProjectionResultObjectProvider.java",1,80,35
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\SQLProjectionResultObjectProvider.java",1,131,85
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\SQLStoreQuery.java",2,395,281
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\SelectResultObjectProvider.java",1,159,104
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\TableJDBCSeq.java",2,740,459
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\UpdateManager.java",0,43,6
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\ValueTableJDBCSeq.java",2,206,119
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Abs.java",1,55,24
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\AbstractVal.java",1,85,48
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Aggregate.java",1,166,110
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\All.java",1,37,10
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\AndExpression.java",1,84,49
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Any.java",1,37,10
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Args.java",1,197,133
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Avg.java",1,44,13
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\BinaryOpExpState.java",1,49,14
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\BindVariableAndExpression.java",1,73,38
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\BindVariableExpression.java",1,75,33
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\CompareEqualExpression.java",1,131,81
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\CompareExpression.java",1,94,56
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Concat.java",1,149,100
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Const.java",1,193,126
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ConstGetObjectId.java",1,109,65
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ConstInstanceofExpression.java",1,70,35
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ConstPath.java",1,220,153
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ContainsExpression.java",1,63,28
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ContainsKeyExpression.java",1,46,15
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Count.java",1,55,20
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\CurrentDate.java",1,70,38
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Distinct.java",1,43,14
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\EmptyExpression.java",1,51,21
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\EndsWithExpression.java",1,207,145
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\EqualExpression.java",6,78,47
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Exp.java",0,59,13
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ExpContext.java",1,56,16
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\ExpState.java",1,44,11
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\Extension.java",1,224,156
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\FilterValue.java",0,119,24
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\FilterValueImpl.java",1,113,71
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\GetColumn.java",1,83,40
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\GetMapValue.java",1,213,150
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\GetObjectId.java",1,176,113
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\HasContainsExpressionVisitor.java",2,47,19
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\InExpression.java",2,224,143
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\InKeyExpression.java",1,47,13
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\InSubQExpression.java",1,93,52
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\InValueExpression.java",1,47,13
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\IndexOf.java",1,145,97
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\InstanceofExpression.java",3,168,111
File,"openjpa\openjpa-jdbc\src\main\java\org\apache\openjpa\jdbc\kernel\exps\IsEmptyExpression.java",1,65,30
