Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"(Unnamed_Package)",0,61,0
Function,"coalesceLine",,13,13
Function,"followRel",,10,10
Function,"generateRelationshipsForTC",,13,13
Function,"main",,58,43
Package,"org",0,0,0
Package,"org.apache",0,0,0
Package,"org.apache.hadoop",0,0,0
Package,"org.apache.hadoop.zebra",3,253,129
Public Class,"org.apache.hadoop.zebra.BaseTestCase",4,164,112
Protected Enum Type,"org.apache.hadoop.zebra.BaseTestCase.TestMode",1,3,3
Public Method,"org.apache.hadoop.zebra.BaseTestCase.TestMode.valueOf",,0,0
Public Method,"org.apache.hadoop.zebra.BaseTestCase.TestMode.values",,0,0
Public Static Method,"org.apache.hadoop.zebra.BaseTestCase.checkTableExists",,13,10
Protected Static Method,"org.apache.hadoop.zebra.BaseTestCase.getTableFullPath",,7,7
Public Static Method,"org.apache.hadoop.zebra.BaseTestCase.init",,50,41
Protected Static Method,"org.apache.hadoop.zebra.BaseTestCase.removeDir",,18,15
Protected Method,"org.apache.hadoop.zebra.BaseTestCase.verifyTable",,38,29
Package,"org.apache.hadoop.zebra.io",2,17514,12648
Public Class,"org.apache.hadoop.zebra.io.BasicTable",4,2127,1421
Private Constructor,"org.apache.hadoop.zebra.io.BasicTable.BasicTable",,3,2
Public Static Class,"org.apache.hadoop.zebra.io.BasicTable.Reader",2,1013,660
Private Class,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner",4,332,281
Public Constructor,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.BTScanner",,4,4
Public Constructor,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.BTScanner",,4,4
Public Constructor,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.BTScanner",,4,4
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.advance",,20,20
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.atEnd",,34,31
Private Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.checkIntegrity",,3,3
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.close",,36,34
Private Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.createCGScanner",,16,16
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.getKey",,34,31
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.getProjection",,3,3
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.getSchema",,3,3
Public Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.getValue",,25,23
Private Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.init",,60,50
Private Method,"org.apache.hadoop.zebra.io.BasicTable.Reader.BTScanner.makeCGRowSplit",,20,10
