Kind,Name,AvgCyclomatic,CountLineCode,CountLine
Package,"$",0,4,4
Function,"$",,12,16
Function,"$H",,6,6
Function,"$R",,3,3
Unnamed Function,"(unnamed_function_1)",,558,1026
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,318,674
Unnamed Function,"(unnamed_function_1)",,17,20
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,10,10
Unnamed Function,"(unnamed_function_1)",,17,20
Function,"(unnamed_function_1).getClassRegEx",,8,8
Function,"(unnamed_function_1).getStyle",,1,1
Function,"(unnamed_function_1).getStyle",,19,21
Function,"(unnamed_function_1).getStyle",,11,14
Function,"(unnamed_function_1).getXY",,43,53
Unnamed Function,"(unnamed_function_1).getXY.(unnamed_function_4)",,6,7
Unnamed Function,"(unnamed_function_1).getXY.(unnamed_function_5)",,32,41
Function,"(unnamed_function_1).setStyle",,6,6
Function,"(unnamed_function_1).setStyle",,15,16
Function,"(unnamed_function_1).testElement",,3,3
Function,"(unnamed_function_1).toCamel",,15,19
Function,"(unnamed_function_1).vscaffold",,7,7
Unnamed Function,"(unnamed_function_10)",,35,125
Unnamed Function,"(unnamed_function_10).(unnamed_function_11)",,12,13
Unnamed Function,"(unnamed_function_10).(unnamed_function_12)",,8,8
Unnamed Function,"(unnamed_function_15)",,7,7
Unnamed Function,"(unnamed_function_16)",,1,1
Unnamed Function,"(unnamed_function_16).(unnamed_function_17)",,1,1
Unnamed Function,"(unnamed_function_16).(unnamed_function_18)",,1,1
Unnamed Function,"(unnamed_function_19)",,8,8
Unnamed Function,"(unnamed_function_2)",,2,2
Unnamed Function,"(unnamed_function_2)",,33,33
Function,"(unnamed_function_2).D",,1,1
Function,"(unnamed_function_2).I",,1,1
Unnamed Function,"(unnamed_function_2).I.(unnamed_function_5)",,1,1
Unnamed Function,"(unnamed_function_2).I.(unnamed_function_6)",,1,1
Function,"(unnamed_function_2).J",,1,1
Function,"(unnamed_function_2).J",,1,1
Function,"(unnamed_function_2).L",,1,1
Function,"(unnamed_function_2).L",,1,1
Function,"(unnamed_function_2).L",,1,1
Function,"(unnamed_function_2).O",,1,1
Function,"(unnamed_function_2).P",,1,1
Function,"(unnamed_function_2)._def",,3,3
Unnamed Function,"(unnamed_function_20)",,8,8
Unnamed Function,"(unnamed_function_21)",,8,8
Unnamed Function,"(unnamed_function_21)",,406,406
Function,"(unnamed_function_21).addToCache",,3,3
Function,"(unnamed_function_21).doLoad",,57,57
Function,"(unnamed_function_21).getCacheKey",,3,3
Function,"(unnamed_function_21).getFromCache",,3,3
Function,"(unnamed_function_21).setHeaders",,11,11
Unnamed Function,"(unnamed_function_4)",,3,3
Unnamed Function,"(unnamed_function_4)",,828,1531
Unnamed Function,"(unnamed_function_4)",,111,111
Function,"(unnamed_function_4).YUI.ArrayUtil.appendArray",,1,1
Function,"(unnamed_function_4).YUI.ArrayUtil.appendArray",,3,3
Function,"(unnamed_function_4).YUI.ArrayUtil.indexOf",,1,1
Function,"(unnamed_function_4).YUI.ArrayUtil.indexOf",,8,9
Function,"(unnamed_function_4).YUI.ArrayUtil.toObject",,1,1
Function,"(unnamed_function_4).YUI.ArrayUtil.toObject",,7,8
Function,"(unnamed_function_4).YUI.ArrayUtil.uniq",,1,1
Function,"(unnamed_function_4).YUI.ArrayUtil.uniq",,3,3
Function,"(unnamed_function_4).YUI.ObjectUtil.appendArray",,2,2
Function,"(unnamed_function_4).YUI.ObjectUtil.appendArray",,7,7
Function,"(unnamed_function_4).YUI.ObjectUtil.keys",,1,1
Function,"(unnamed_function_4).YUI.ObjectUtil.keys",,9,10
Unnamed Function,"(unnamed_function_5)",,6,6
Unnamed Function,"(unnamed_function_6)",,2,2
Unnamed Function,"(unnamed_function_6)",,40,242
Unnamed Function,"(unnamed_function_8)",,6,6
Unnamed Function,"(unnamed_function_9)",,5,5
Function,"A.alreadySubscribed",,1,1
Function,"A.prototype.addProperty",,1,1
Function,"A.prototype.applyConfig",,1,1
Function,"A.prototype.checkBoolean",,1,1
Function,"A.prototype.checkNumber",,1,1
Function,"A.prototype.destroy",,1,1
Function,"A.prototype.fireEvent",,1,1
Function,"A.prototype.fireQueue",,1,1
Function,"A.prototype.getConfig",,1,1
Function,"A.prototype.getProperty",,1,1
Function,"A.prototype.init",,1,1
Function,"A.prototype.outputEventQueue",,1,1
Function,"A.prototype.queueProperty",,1,1
Function,"A.prototype.refireEvent",,1,1
Function,"A.prototype.refresh",,1,1
Function,"A.prototype.resetProperty",,1,1
Function,"A.prototype.setProperty",,1,1
Function,"A.prototype.subscribeToConfigEvent",,1,1
Function,"A.prototype.toString",,1,1
Function,"A.prototype.unsubscribeFromConfigEvent",,1,1
Function,"Abstract.EventObserver",,1,1
Function,"Abstract.EventObserver.prototype.initialize",,9,10
Function,"Abstract.EventObserver.prototype.onElementEvent",,7,7
Function,"Abstract.EventObserver.prototype.registerCallback",,17,17
Function,"Abstract.EventObserver.prototype.registerFormCallbacks",,5,5
Function,"Abstract.Insertion",,3,3
Function,"Abstract.Insertion.prototype.contentFromAnonymousTable",,5,5
Function,"Abstract.Insertion.prototype.initialize",,20,22
Unnamed Function,"Abstract.Insertion.prototype.initialize.(unnamed_function_38)",,1,1
Function,"Abstract.TimedObserver",,1,1
Function,"Abstract.TimedObserver.prototype.initialize",,7,8
Function,"Abstract.TimedObserver.prototype.onTimerEvent",,7,7
Function,"Abstract.TimedObserver.prototype.registerCallback",,3,3
Function,"Ajax.Base",,1,1
Function,"Ajax.Base.prototype.responseIsFailure",,3,3
Function,"Ajax.Base.prototype.responseIsSuccess",,5,5
Function,"Ajax.Base.prototype.setOptions",,8,8
Function,"Ajax.Responders._each",,3,3
Function,"Ajax.Responders.dispatch",,9,9
Unnamed Function,"Ajax.Responders.dispatch.(unnamed_function_33)",,7,7
Function,"Ajax.Responders.register",,4,4
Function,"Ajax.Responders.unregister",,3,3
Function,"Ajax.getTransport",,7,7
Unnamed Function,"Ajax.getTransport.(unnamed_function_30)",,1,1
Unnamed Function,"Ajax.getTransport.(unnamed_function_31)",,1,1
Unnamed Function,"Ajax.getTransport.(unnamed_function_32)",,1,1
Function,"Array.from",,11,11
Function,"Array.prototype.call",,4,4
Unnamed Function,"Array.prototype.call.(unnamed_function_4)",,1,1
Function,"Behaviour.addLoadEvent",,11,12
Function,"Behaviour.apply",,13,15
Function,"Behaviour.register",,3,3
Function,"Behaviour.start",,5,5
Unnamed Function,"Behaviour.start.(unnamed_function_1)",,3,3
Function,"Class.create",,5,5
Function,"Class.create",,5,5
Unnamed Function,"Class.create.(unnamed_function_1)",,3,3
Unnamed Function,"Class.create.(unnamed_function_1)",,3,3
Function,"Config.alreadySubscribed",,16,19
Function,"Config.prototype.addProperty",,15,22
Function,"Config.prototype.applyConfig",,18,21
Function,"Config.prototype.checkBoolean",,3,3
Function,"Config.prototype.checkNumber",,3,3
Function,"Config.prototype.destroy",,18,29
Function,"Config.prototype.fireEvent",,6,7
Function,"Config.prototype.fireQueue",,20,26
Function,"Config.prototype.getConfig",,12,15
Function,"Config.prototype.getProperty",,8,8
Function,"Config.prototype.init",,10,13
Function,"Config.prototype.outputEventQueue",,13,15
Function,"Config.prototype.queueProperty",,74,106
Function,"Config.prototype.refireEvent",,12,22
Function,"Config.prototype.refresh",,6,8
Function,"Config.prototype.resetProperty",,13,22
Function,"Config.prototype.setProperty",,24,29
Function,"Config.prototype.subscribeToConfigEvent",,11,13
Function,"Config.prototype.toString",,7,7
Function,"Config.prototype.unsubscribeFromConfigEvent",,8,8
Class Function,"DOMParser",0,1,1
Function,"DOMParser.prototype.parseFromString",,3,3
Function,"Effect.Appear",,10,10
Function,"Effect.Appear.options.beforeSetup",,3,3
Function,"Effect.Base",,1,1
Function,"Effect.Base.prototype.cancel",,6,6
Function,"Effect.Base.prototype.event",,4,4
Function,"Effect.Base.prototype.inspect",,3,3
Function,"Effect.Base.prototype.loop",,18,18
Function,"Effect.Base.prototype.render",,17,17
Function,"Effect.Base.prototype.start",,11,11
Function,"Effect.BlindDown",,22,22
Function,"Effect.BlindUp",,12,12
Function,"Effect.DropOut",,18,18
Function,"Effect.Fade",,12,12
Function,"Effect.Fade.options.afterFinishInternal",,4,4
Function,"Effect.Fold",,21,21
Function,"Effect.Grow",,72,75
Function,"Effect.MoveBy",,4,4
Function,"Effect.Puff",,16,16
Function,"Effect.Pulsate",,12,12
Function,"Effect.Pulsate.reverser",,1,1
Function,"Effect.Queues.get",,6,8
Function,"Effect.Shake",,21,21
Function,"Effect.Shrink",,50,53
Function,"Effect.SlideDown",,29,30
Function,"Effect.SlideUp",,27,27
Function,"Effect.Squish",,10,10
Function,"Effect.SwitchOff",,22,22
Function,"Effect.Transitions.flicker",,3,3
Function,"Effect.Transitions.full",,3,3
Function,"Effect.Transitions.linear",,3,3
Function,"Effect.Transitions.none",,3,3
Function,"Effect.Transitions.pulse",,4,4
Function,"Effect.Transitions.reverse",,3,3
Function,"Effect.Transitions.sinoidal",,3,3
Function,"Effect.Transitions.wobble",,3,3
Function,"Effect.multiple",,17,19
Unnamed Function,"Effect.multiple.(unnamed_function_7)",,3,3
Function,"Effect.tagifyText",,16,16
Unnamed Function,"Effect.tagifyText.(unnamed_function_5)",,11,11
Unnamed Function,"Effect.tagifyText.(unnamed_function_5).(unnamed_function_6)",,6,6
Function,"Effect.toggle",,9,9
Function,"Element.ClassNames.prototype._each",,5,5
Unnamed Function,"Element.ClassNames.prototype._each.(unnamed_function_43)",,3,3
Function,"Element.ClassNames.prototype.add",,4,4
Function,"Element.ClassNames.prototype.initialize",,3,3
Function,"Element.ClassNames.prototype.remove",,6,6
Unnamed Function,"Element.ClassNames.prototype.remove.(unnamed_function_44)",,3,3
Function,"Element.ClassNames.prototype.set",,3,3
Function,"Element.ClassNames.prototype.toString",,3,3
Function,"Element.childrenWithClassName",,4,4
Unnamed Function,"Element.childrenWithClassName.(unnamed_function_3)",,1,1
Function,"Element.collectTextNodes",,6,6
Unnamed Function,"Element.collectTextNodes.(unnamed_function_1)",,4,4
Function,"Element.collectTextNodesIgnoreClass",,7,7
Unnamed Function,"Element.collectTextNodesIgnoreClass.(unnamed_function_2)",,5,5
Function,"Element.getInlineOpacity",,3,3
Function,"Element.getOpacity",,8,8
Function,"Element.setContentZoom",,4,4
Function,"Element.setOpacity",,17,17
Function,"Element.setStyle",,4,4
Function,"Enumerable.all",,8,8
Unnamed Function,"Enumerable.all.(unnamed_function_7)",,4,4
Function,"Enumerable.any",,8,8
Unnamed Function,"Enumerable.any.(unnamed_function_8)",,4,4
Function,"Enumerable.collect",,7,7
Unnamed Function,"Enumerable.collect.(unnamed_function_9)",,3,3
Function,"Enumerable.detect",,10,10
Unnamed Function,"Enumerable.detect.(unnamed_function_10)",,6,6
Function,"Enumerable.each",,14,14
Unnamed Function,"Enumerable.each.(unnamed_function_6)",,7,7
Function,"Enumerable.findAll",,8,8
Unnamed Function,"Enumerable.findAll.(unnamed_function_11)",,4,4
Function,"Enumerable.grep",,9,9
Unnamed Function,"Enumerable.grep.(unnamed_function_12)",,5,5
Function,"Enumerable.include",,10,10
Unnamed Function,"Enumerable.include.(unnamed_function_13)",,6,6
Function,"Enumerable.inject",,6,6
Unnamed Function,"Enumerable.inject.(unnamed_function_14)",,3,3
Function,"Enumerable.inspect",,3,3
Function,"Enumerable.invoke",,6,6
Unnamed Function,"Enumerable.invoke.(unnamed_function_15)",,3,3
Function,"Enumerable.max",,9,9
Unnamed Function,"Enumerable.max.(unnamed_function_16)",,5,5
Function,"Enumerable.min",,9,9
Unnamed Function,"Enumerable.min.(unnamed_function_17)",,5,5
Function,"Enumerable.partition",,8,8
Unnamed Function,"Enumerable.partition.(unnamed_function_18)",,4,4
Function,"Enumerable.pluck",,7,7
Unnamed Function,"Enumerable.pluck.(unnamed_function_19)",,3,3
Function,"Enumerable.reject",,8,8
Unnamed Function,"Enumerable.reject.(unnamed_function_20)",,4,4
Function,"Enumerable.sortBy",,8,8
Unnamed Function,"Enumerable.sortBy.(unnamed_function_21)",,3,3
Unnamed Function,"Enumerable.sortBy.(unnamed_function_22)",,4,4
Function,"Enumerable.toArray",,3,3
Function,"Enumerable.zip",,10,11
Unnamed Function,"Enumerable.zip.(unnamed_function_23)",,4,4
Function,"Field.activate",,6,6
Function,"Field.clear",,4,4
Function,"Field.focus",,3,3
Function,"Field.present",,5,5
Function,"Field.select",,3,3
Function,"Form.Element.Serializers.input",,13,13
Function,"Form.Element.Serializers.inputSelector",,4,4
Function,"Form.Element.Serializers.select",,4,4
Function,"Form.Element.Serializers.selectMany",,13,13
Function,"Form.Element.Serializers.selectOne",,10,10
Function,"Form.Element.Serializers.textarea",,3,3
Function,"Form.Element.getValue",,7,8
Function,"Form.Element.serialize",,14,17
Unnamed Function,"Form.Element.serialize.(unnamed_function_46)",,3,3
Function,"Form.disable",,8,8
Function,"Form.enable",,7,7
Function,"Form.findFirstElement",,6,6
Unnamed Function,"Form.findFirstElement.(unnamed_function_45)",,4,4
Function,"Form.focusFirstElement",,3,3
Function,"Form.getElements",,10,11
Function,"Form.getInputs",,15,18
Function,"Form.reset",,3,3
Function,"Form.serialize",,10,12
Function,"Function.prototype.bind",,6,6
Function,"Function.prototype.bind",,6,6
Function,"Function.prototype.bind",,6,6
Unnamed Function,"Function.prototype.bind.(unnamed_function_1)",,3,3
Unnamed Function,"Function.prototype.bind.(unnamed_function_1)",,3,3
Unnamed Function,"Function.prototype.bind.(unnamed_function_2)",,3,3
Function,"Function.prototype.bindAsEventListener",,6,6
Unnamed Function,"Function.prototype.bindAsEventListener.(unnamed_function_3)",,3,3
Function,"Hash._each",,10,11
Function,"Hash.inspect",,5,5
Unnamed Function,"Hash.inspect.(unnamed_function_29)",,3,3
Function,"Hash.keys",,3,3
Function,"Hash.merge",,6,6
Unnamed Function,"Hash.merge.(unnamed_function_27)",,4,4
Function,"Hash.toQueryString",,5,5
