"V1","V2","V3","V4","V5"
"Project","Y #Bugs","Y ChgLines","Y Exp","Y Priority"
"accumulo","0.180455045747501","0.129842450324504","0.0892563084611787","0.154868029807999"
"bookkeeper","0.106725237019049","0.4430524606036","0.0736971789248456","0.0996187719022494"
"camel","0.0698535108180234","0.0334675506580394","0.0595446345526183","0.0646784996577962"
"cassandra","0.393000851780033","0.205828757655459","0.273702809321749","0.330260289620093"
"cxf","0.112613800955649","0.0460286533883968","0.0712288706229918","0.10903262389745"
"derby","0.0852724826077743","0.0146459531036663","0.0433614577840635","0.118026041202349"
"felix","0.546183676996505","0.322409009024553","0.422981737710443","0.543224182368848"
"hive","0.0943704642215499","0.128517371343632","0.0523841009862696","0.0910504791464164"
"openjpa","0.20853270222239","0.276088953561289","0.170048320508924","0.208582780491839"
"pig","0.101745628975687","0.0480662196810724","0.0620178197901822","0.101573664076261"
"wicket","0.260832458370598","0.069726698379017","0.173586146947999","0.265517185629464"
