project,release,major,minor,date,pre,post,component
accumulo,1.4.0,1,4,3/30/2012,11/7/1995 0:00,10/26/2012 0:00,
accumulo,1.5.0,1,5,5/24/2013,10/26/2012 0:00,11/11/2013 12:00,
accumulo,1.6.0,1,6,5/2/2014,11/11/2013 12:00,11/9/2014 0:00,
accumulo,1.7.0,1,7,5/19/2015,11/9/2014 0:00,1/12/2016 0:00,
accumulo,1.8.0,1,8,9/6/2016,1/12/2016 0:00,6/27/2017 12:00,
accumulo,1.9.0,1,9,4/18/2018,6/27/2017 12:00,9/9/2018 0:00,
accumulo,2.0.0,2,0,1/31/2019,9/9/2018 0:00,9/9/2020 0:00,
bookkeeper,4.0.0,4,0,12/2/2011,11/7/1995 0:00,3/5/2012 0:00,
bookkeeper,4.1.0,4,1,6/7/2012,3/5/2012 0:00,9/25/2012 12:00,
bookkeeper,4.2.0,4,2,1/14/2013,9/25/2012 12:00,11/26/2013 0:00,
bookkeeper,4.3.0,4,3,10/8/2014,11/26/2013 0:00,7/22/2015 12:00,
bookkeeper,4.4.0,4,4,5/5/2016,7/22/2015 12:00,12/24/2016 0:00,
bookkeeper,4.5.0,4,5,8/14/2017,12/24/2016 0:00,10/19/2017 12:00,
bookkeeper,4.6.0,4,6,12/25/2017,10/19/2017 12:00,2/19/2018 12:00,
bookkeeper,4.7.0,4,7,4/17/2018,2/19/2018 12:00,7/4/2018 0:00,
bookkeeper,4.8.0,4,8,9/20/2018,7/4/2018 0:00,11/26/2018 0:00,
bookkeeper,4.9.0,4,9,2/1/2019,11/26/2018 0:00,9/9/2020 0:00,
camel,1.0.0,1,0,1/19/2009,11/7/1995 0:00,1/19/2009 0:00,
camel,1.1.0,1,1,1/19/2009,1/19/2009 0:00,1/19/2009 0:00,
camel,1.2.0,1,2,1/19/2009,1/19/2009 0:00,1/19/2009 0:00,
camel,1.3.0,1,3,1/19/2009,1/19/2009 0:00,1/19/2009 0:00,
camel,1.4.0,1,4,1/19/2009,1/19/2009 0:00,1/19/2009 0:00,
camel,1.5.0,1,5,1/19/2009,1/19/2009 0:00,2/2/2009 12:00,
camel,1.6.0,1,6,2/17/2009,2/2/2009 12:00,5/22/2009 0:00,
camel,2.0.0,2,0,8/24/2009,5/22/2009 0:00,10/12/2009 12:00,
camel,2.1.0,2,1,12/1/2009,10/12/2009 12:00,1/3/2010 12:00,
camel,2.2.0,2,2,2/6/2010,1/3/2010 12:00,3/30/2010 12:00,
camel,2.3.0,2,3,5/22/2010,3/30/2010 12:00,6/16/2010 12:00,
camel,2.4.0,2,4,7/12/2010,6/16/2010 12:00,9/2/2010 12:00,
camel,2.5.0,2,5,10/25/2010,9/2/2010 12:00,12/9/2010 12:00,
camel,2.6.0,2,6,1/24/2011,12/9/2010 12:00,2/19/2011 0:00,
camel,2.7.0,2,7,3/17/2011,2/19/2011 0:00,5/17/2011 12:00,
camel,2.8.0,2,8,7/18/2011,5/17/2011 12:00,10/7/2011 0:00,
camel,2.9.0,2,9,12/27/2011,10/7/2011 0:00,3/27/2012 12:00,
camel,2.10.0,2,10,6/27/2012,3/27/2012 12:00,11/21/2012 0:00,
camel,2.11.0,2,11,4/17/2013,11/21/2012 0:00,6/26/2013 0:00,
camel,2.12.0,2,12,9/4/2013,6/26/2013 0:00,12/10/2013 0:00,
camel,2.13.0,2,13,3/17/2014,12/10/2013 0:00,6/16/2014 0:00,
camel,2.14.0,2,14,9/15/2014,6/16/2014 0:00,12/10/2014 0:00,
camel,2.15.0,2,15,3/6/2015,12/10/2014 0:00,6/20/2015 12:00,
camel,2.16.0,2,16,10/5/2015,6/20/2015 12:00,12/28/2015 0:00,
camel,2.17.0,2,17,3/21/2016,12/28/2015 0:00,6/27/2016 12:00,
camel,2.18.0,2,18,10/4/2016,6/27/2016 12:00,1/15/2017 12:00,
camel,2.19.0,2,19,4/29/2017,1/15/2017 12:00,7/18/2017 12:00,
camel,2.20.0,2,20,10/7/2017,7/18/2017 12:00,12/23/2017 12:00,
camel,2.21.0,2,21,3/11/2018,12/23/2017 12:00,5/5/2018 0:00,
camel,2.22.0,2,22,6/29/2018,5/5/2018 0:00,9/11/2018 0:00,
camel,2.23.0,2,23,11/24/2018,9/11/2018 0:00,1/23/2019 0:00,
camel,3.0.0,3,0,3/24/2019,1/23/2019 0:00,9/9/2020 0:00,
cassandra,0.3.0,0,3,3/13/2010,11/7/1995 0:00,3/13/2010 0:00,
cassandra,0.4.0,0,4,3/13/2010,3/13/2010 0:00,3/13/2010 0:00,
cassandra,0.5.0,0,5,3/13/2010,3/13/2010 0:00,3/27/2010 12:00,
cassandra,0.6.0,0,6,4/11/2010,3/27/2010 12:00,8/25/2010 12:00,
cassandra,0.7.0,0,7,1/9/2011,8/25/2010 12:00,3/22/2011 0:00,
cassandra,0.8.0,0,8,6/2/2011,3/22/2011 0:00,8/10/2011 0:00,
cassandra,1.0.0,1,0,10/18/2011,8/10/2011 0:00,1/20/2012 12:00,
cassandra,1.1.0,1,1,4/24/2012,1/20/2012 12:00,8/28/2012 12:00,
cassandra,1.2.0,1,2,1/2/2013,8/28/2012 12:00,5/4/2013 0:00,
cassandra,2.0.0,2,0,9/3/2013,5/4/2013 0:00,3/12/2014 0:00,
cassandra,2.1.0,2,1,9/18/2014,3/12/2014 0:00,2/17/2015 12:00,
cassandra,2.2.0,2,2,7/20/2015,2/17/2015 12:00,9/14/2015 0:00,
cassandra,3.0.0,3,0,11/9/2015,9/14/2015 0:00,11/23/2015 12:00,
cassandra,3.1,3,1,12/8/2015,11/23/2015 12:00,12/25/2015 0:00,
cassandra,3.2,3,2,1/11/2016,12/25/2015 0:00,1/25/2016 0:00,
cassandra,3.3,3,3,2/8/2016,1/25/2016 0:00,2/22/2016 0:00,
cassandra,3.4,3,4,3/7/2016,2/22/2016 0:00,3/25/2016 12:00,
cassandra,3.5,3,5,4/13/2016,3/25/2016 12:00,5/10/2016 0:00,
cassandra,3.6,3,6,6/6/2016,5/10/2016 0:00,6/9/2016 12:00,
cassandra,3.7,3,7,6/13/2016,6/9/2016 12:00,8/6/2016 0:00,
cassandra,3.8,3,8,9/29/2016,8/6/2016 0:00,9/29/2016 0:00,
cassandra,3.9,3,9,9/29/2016,9/29/2016 0:00,12/1/2016 12:00,
cassandra,3.1,3,10,2/3/2017,12/1/2016 12:00,4/14/2017 0:00,
cassandra,3.11.0,3,11,6/23/2017,4/14/2017 0:00,9/9/2020 0:00,
cxf,2.1,2,1,4/25/2008,11/7/1995 0:00,10/4/2008 0:00,
cxf,2.2,2,2,3/15/2009,10/4/2008 0:00,12/25/2009 12:00,
cxf,2.3.0,2,3,10/7/2010,12/25/2009 12:00,1/8/2011 12:00,
cxf,2.4.0,2,4,4/12/2011,1/8/2011 12:00,7/20/2011 12:00,
cxf,2.5.0,2,5,10/28/2011,7/20/2011 12:00,1/19/2012 12:00,
cxf,2.6.0,2,6,4/12/2012,1/19/2012 12:00,7/9/2012 0:00,
cxf,2.7.0,2,7,10/5/2012,7/9/2012 0:00,7/25/2013 0:00,
cxf,3.0.0,3,0,5/14/2014,7/25/2013 0:00,11/6/2014 0:00,
cxf,3.1.0,3,1,5/1/2015,11/6/2014 0:00,7/3/2016 12:00,
cxf,3.2.0,3,2,9/6/2017,7/3/2016 12:00,5/16/2018 12:00,
cxf,3.3.0,3,3,1/24/2019,5/16/2018 12:00,9/9/2020 0:00,
derby,10.0.2.1,10,0,7/31/2005,11/7/1995 0:00,8/1/2005 12:00,
derby,10.1.1.0,10,1,8/3/2005,8/1/2005 12:00,3/5/2006 12:00,
derby,10.2.1.6,10,2,10/6/2006,3/5/2006 12:00,3/9/2007 0:00,
derby,10.3.1.4,10,3,8/10/2007,3/9/2007 0:00,2/23/2008 12:00,
derby,10.4.2.0,10,4,9/8/2008,2/23/2008 12:00,1/3/2009 0:00,
derby,10.5.1.1,10,5,4/30/2009,1/3/2009 0:00,11/7/2009 12:00,
derby,10.6.1.0,10,6,5/18/2010,11/7/2009 12:00,8/31/2010 0:00,
derby,10.7.1.1,10,7,12/14/2010,8/31/2010 0:00,2/20/2011 0:00,
derby,10.8.1.2,10,8,4/29/2011,2/20/2011 0:00,11/26/2011 12:00,
derby,10.9.1.0,10,9,6/25/2012,11/26/2011 12:00,11/19/2012 12:00,
derby,10.10.1.1,10,10,4/16/2013,11/19/2012 12:00,12/20/2013 12:00,
derby,10.11.1.1,10,11,8/26/2014,12/20/2013 12:00,3/19/2015 0:00,
derby,10.12.1.1,10,12,10/10/2015,3/19/2015 0:00,4/18/2016 0:00,
derby,10.13.1.1,10,13,10/26/2016,4/18/2016 0:00,4/21/2017 12:00,
derby,10.14.1.0,10,14,10/16/2017,4/21/2017 12:00,6/28/2018 12:00,
derby,10.15.1.3,10,15,3/11/2019,6/28/2018 12:00,9/9/2020 0:00,
felix,1.2.0,1,2,11/1/2009,11/7/1995 0:00,11/16/2009 0:00,Declarative Services (SCR)
felix,1.4.0,1,4,12/1/2009,11/16/2009 0:00,4/1/2010 12:00,Declarative Services (SCR)
felix,1.6.0,1,6,8/1/2010,4/1/2010 12:00,3/1/2012 12:00,Declarative Services (SCR)
felix,1.8.0,1,8,10/1/2013,3/1/2012 12:00,1/9/2020 0:00,Declarative Services (SCR)
hive,0.3.0,0,3,10/26/2010,11/7/1995 0:00,10/26/2010 0:00,
hive,0.4.0,0,4,10/26/2010,10/26/2010 0:00,10/26/2010 0:00,
hive,0.5.0,0,5,10/26/2010,10/26/2010 0:00,10/26/2010 0:00,
hive,0.6.0,0,6,10/26/2010,10/26/2010 0:00,1/9/2011 0:00,
hive,0.7.0,0,7,3/25/2011,1/9/2011 0:00,8/4/2011 12:00,
